VIRTUAL TOWER
NET PROFIT MARGIN
BAGGAGE
REVENUE PASSENGER ENPLANEMENT
NATIONAL AIRSPACE SYSTEM
AIR TAXI 
ANCILLARY REVENUE
KNOT
AVAILABLE SEAT MILE
CONTRACT AUTHORITY
GROSS DOMESTIC PRODUCT
BROADAREA PRECISION NAVIGATION
WIND SHEAR
REVENUE AIRCRAFT DEPARTURE
WIDE AREA AUGMENTATION SYSTEM
SIMULATOR
ENPLANEMENT
REGIONAL AIRLINE
LARGE CERTIFICATED AIR CARRIER
TAILORED ARRIVAL
NONSTOP CLAUSE
ROUND TRIP
ASSPORT
OPERATING REVENUES
FREIGHT
WING
ACTIVE AIRCRAFT 
TRAFFIC FLOW MANAGEMENT
FIRST CLASS
CUSTOMS AND BORDER
SCHEDULED SERVICE
MINIMUM EQUIPMENT LIST
OPEN SKIES AGREEMENT
STAGE 4 AIRCRAFT
NEXT GENERATION AIR TRANSPORTATION SYSTEM
OPERATING PROFIT
NATIONAL CARRIER
JOB IMPACT
AERODROME 
AILERON
TICKET PRICE
YAW
AVERAGE HAUL
WIDEBODY AIRCRAFT
LONGRANGE NAVIGATION
ENTERED INTO FORCE
RETURN ON INVESTMENT
NONSCHEDULED SERVICE
HORIZONTAL STABILIZER
CORPORATE AVIATION
REVENUE PER AVAILABLE SEAT MILE
VISUAL FLIGHT RULES
FLIGHT DATA RECORDER
AIRFOIL
CONSTANT DOLLAR
HUMAN FACTORS
SLATS
PERFORMANCEBASED OPERATIONS
TERMINAL RADAR APPROACH CONTROL
EXCISE TAX
GROSS OUTPUT
COACH
EN ROUTE CENTER
AISLE
AIR TRAFFIC MANAGEMENT
CHARTER
OBLIGATIONS
FLIGHT ATTENDANT
CONTINUOUS DESCENT APPROACH
CRACK SPREAD
DOMESTIC
PILOT
PERSONAL EARNINGS
POST1977 AGREEMENT
SYSTEMWIDE
DEPARTURE
VISA WAIVER PROGRAM
CONNECTION
FATALITY
LANDING
TURBOFAN
MULTILATERAL AGREEMENT ON THE LIBERALIZATION OF AIR TRANSPORTATION
BUREAU OF LABOR STATISTICS
BULKHEAD
SEAT PITCH
PART 135
ENGINE
PASSENGER
WARSAW CONVENTION
ALTERNATIVE FUELS
STOPOVER
REVENUE TON MILE
SPECIFICATION
COMMERCIAL SERVICE AIRPORT
SEPARATION MINIMA
STALL
COMMERCIAL AVIATION
EMPENNAGE
FLIGHT
CODE SHARING
CONTROLLED TIME OF ARRIVAL
PART 121
REVENUE PASSENGER MILE
GROUND SERVICING
SPEED BRAKES
GLOBAL DISTRIBUTION SYSTEM
AIRWORTHINESS
AIR NAVIGATION SERVICE PROVIDER 
AIR TRAFFIC CONTROL
COOPERATIVE SURVEILLANCE
GEOGRAPHIC REGIONS
SITUATIONAL AWARENESS
HUBANDSPOKE SYSTEM
FLIGHT DECK
PYLON
FARE
EXPECT DEPARTURE CLEARANCE TIME
GLOBAL POSITIONING SYSTEM
TOKYO CONVENTION
PASSENGER REVENUE
ITINERARY
LUGGAGE
AUTOMATIC DEPENDENT SURVEILLANCEBROADCAST
UKNATS
COMPLEXITY
FREIGHT TON MILE
GATE
PROVISIONAL APPLICATION
CAPACITY MANAGEMENT
SABOTAGE CONVENTION AND MONTREAL PROTOCOL
RAMP
AREA NAVIGATION
THRUST
US FLAG CARRIER
SUPPLEMENTAL AIR CARRIER
INTERNATIONAL AIR SERVICES TRANSIT AGREEMENT
EN ROUTE
CARGO
LOAD FACTOR
REVENUE AIRCRAFT HOUR
BUREAU OF TRANSPORTATION STATISTICS
FEDERAL AVIATION REGULATIONS
BREAKEVEN LOAD FACTOR
FREQUENTFLYER PROGRAMS
JETWAY
REVENUE MANAGEMENT
EARNINGS
DEREGULATION
CARRYON
OPERATING EXPENSES
ENVIRONMENTAL DAMAGE
PITCH
HYPERSONIC FLIGHT
BERMUDA II AGREEMENT
ELEVATOR
TRAFFIC
TURBOPROP
RADAR
ARTIFICIAL HORIZON
OVERBOOK
COMMUTER AIR CARRIER
COCKPIT
JET ENGINE
BUDGET AUTHORITY
AERIAL OBSERVATION FLYING 
CIVIL RESERVE AIR FLEET
CONFLICT
PROPELLER
VERY LIGHT JET
CUSTOMS
FULLTIME EQUIVALENT
JET FUEL
CARGO WAYBILL
FLIGHT SERVICE STATION
CRUDE OIL
FATAL INJURY
NONSTOP FLIGHT
AIR ROUTE TRAFFIC CONTROL CENTER
UNCOMMITTED BALANCE
HIJACKING CONVENTION
BUSINESS AVIATION
AIR CARRIER 
RESEARCH ENGINEERING AND DEVELOPMENT
PROPFAN
SIMULTANEOUS OFFSET INSTRUMENT APPROACH
SMALL CERTIFICATED AIR CARRIER
CHARTER RULES
STAGE 3 AIRCRAFT
CAPACITY
WINDOW SEAT
SERIOUS INJURY
RUDDER
MAINTENANCE
CONTROL TOWER
SPECIAL USE AIRSPACE
PASSENGER FACILITY CHARGE
INCURSION
CUSTOMS AND BORDER PROTECTION
CERTIFICATED AIRPORTS
UNIT REVENUE
CASH BALANCE
NOX
SEAT BELT
ONEWAY
NET INCOME
FLIGHT PLAN
COCKPIT VOICE RECORDER
BONDING AUTHORITY
CHICAGO AGREEMENT
GLIDESLOPE
PART 91
CREW
LOREM
CONSUMER PRICE INDEX
RNAV
BERMUDA I AGREEMENT
MANPORTABLE AIR DEFENSE SYSTEM
INSPECTION
SECURITY
EMPLOYEES
AERIAL APPLICATION FLYING 
TURBOJET
ACCIDENT
REVENUE
TAKEOFF
ONFLIGHT TRIP LENGTH
STAGE LENGTH
COST PER AVAILABLE TON MILE
JUMBO JET
FLAPS
SYSTEM WIDE INFORMATION MANAGEMENT
