obs,pos_t_ratios,neg_t_ratios,med_vol_t_ratios,pos_coeffs,neg_coeffs,med_vol_coeffs
"2021-05-18 00:0",-0.032857417477498,2.17216780648241,3.37363017886842,-0.0944276675582417,6.33311882535996,0.871689083298616
"2021-05-19 00:0",-0.0717577761757845,1.93372157930656,3.05876240531566,-0.205781318695504,5.49038387172276,0.782106007541777
"2021-05-20 00:0",-0.069619808958608,1.9384270437079,3.07855819834521,-0.199589209763678,5.56312518412259,0.78754411264042
"2021-05-21 00:0",-0.0727444378739085,1.96883063059519,3.05615714792545,-0.210682890690466,5.67064036834978,0.788360082434919
"2021-05-24 00:0",-0.0391095918610422,1.94025813649395,3.03765064145174,-0.112993351757075,5.6132707581935,0.787243333337308
"2021-05-25 00:0",-0.0493166024100936,1.85716959076638,1.35345866811471,-0.141768723902795,5.36861845272372,0.34075171091942
"2021-05-26 00:0",-0.0648677161323752,1.7959041739161,1.38258073440298,-0.185463078337384,5.15907007392213,0.345696806292276
"2021-05-27 00:0",-0.115725975288065,1.77304104034757,1.56012526324666,-0.327600152582175,5.07688273463832,0.375023296038089
"2021-05-28 00:0",-0.0924759676821842,1.76983298510333,1.54254666279785,-0.262713989164673,5.04749426702373,0.368437555655169
"2021-06-01 00:0",-0.137590463477756,1.85290904916643,1.57994351048296,-0.390977392587512,5.28267836029627,0.36919036935553
"2021-06-02 00:0",-0.177727947193662,1.81610671470877,1.61518074670681,-0.502923623145309,5.21468971558024,0.365466528838551
"2021-06-03 00:0",-0.117390144918906,1.87444750425983,1.68528245039572,-0.331895147236765,5.49882949572199,0.3831572024759
"2021-06-04 00:0",-0.0755537986967249,1.81012595880634,1.65609759300454,-0.213911786466935,5.29818780780553,0.372461805230866
"2021-06-07 00:0",-0.176819653113767,1.68902769773151,1.62402449824856,-0.495547207958921,4.9537029574035,0.355404920008083
"2021-06-08 00:0",-0.177214339926872,1.69764737839134,1.62214971607882,-0.496561810137514,4.98072027445577,0.355221662221911
"2021-06-09 00:0",-0.18770437933214,1.71168050813358,1.64318513711146,-0.527199234752002,5.03871341321239,0.363920318151745
"2021-06-10 00:0",-0.219766477996347,1.75227311572828,1.58767661771227,-0.616932292111193,5.15111529421873,0.342184986487461
